stress_case,seed,method,solver_method,tower_count,stop_count,vehicle_count,uav_count,battery_capacity,reserve_ratio,quantile_z,wind_speed,temperature,objective_value,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,sortie_count,avg_towers_per_sortie,missed_value,solver_runtime,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates
tight_battery,2,no_energy_repair,alns_full_no_energy_repair,75,24,3,6,108.0,0.22,1.96,9.5,32.0,16411.22577196657,512.332616,666.705033,10036.020598,0.426667,0.426667,124.852793,0.722222,0.555556,75,1.0,2284.9221,0.208328,124.0,16.0,16.0,16.0
tight_battery,2,no_sync_repair,alns_full_no_sync_repair,75,24,3,6,108.0,0.22,1.96,9.5,32.0,16411.22577196657,512.332616,666.705033,10036.020598,0.426667,0.426667,124.852793,0.722222,0.555556,75,1.0,2284.9221,0.204379,122.0,13.0,18.0,13.0
tight_battery,2,no_uq,alns_full_no_uq,75,24,3,6,108.0,0.22,1.96,9.5,32.0,16418.931615406567,500.249282,654.982989,10010.695299,0.72,0.72,124.356024,0.777778,0.333333,75,1.0,1998.7445,0.185297,110.0,15.0,30.0,10.0
tight_battery,2,no_risk_value,alns_full_no_risk_value,75,24,3,6,108.0,0.22,1.96,9.5,32.0,18072.46475896657,525.719596,725.31544,10036.020598,0.426667,0.426667,228.201381,0.277778,0.277778,75,1.0,2284.9221,0.1871,126.0,16.0,14.0,11.0
tight_battery,2,alns_fixed,alns_fixed,75,24,3,6,108.0,0.22,1.96,9.5,32.0,18218.492165086573,543.881804,780.134511,10017.731776,0.72,0.72,229.236714,0.277778,0.277778,75,1.0,2018.2694,0.14931,131.0,19.0,9.0,14.0
tight_battery,3,alns_pinn_full,alns_full,75,24,3,6,108.0,0.22,1.96,9.5,32.0,18736.5297241278,580.563601,765.876876,9957.150145,0.453333,0.453333,160.093641,0.833333,0.666667,75,1.0,2468.0595,0.24896,113.0,14.0,27.0,14.0
tight_battery,3,no_energy_repair,alns_full_no_energy_repair,75,24,3,6,108.0,0.22,1.96,9.5,32.0,18736.5297241278,580.563601,765.876876,9957.150145,0.453333,0.453333,160.093641,0.833333,0.666667,75,1.0,2468.0595,0.231654,128.0,12.0,12.0,9.0
tight_battery,3,no_sync_repair,alns_full_no_sync_repair,75,24,3,6,108.0,0.22,1.96,9.5,32.0,18736.5297241278,580.563601,765.876876,9957.150145,0.453333,0.453333,160.093641,0.833333,0.666667,75,1.0,2468.0595,0.201562,127.0,9.0,13.0,9.0
tight_battery,3,no_uq,alns_full_no_uq,75,24,3,6,108.0,0.22,1.96,9.5,32.0,17505.493482047797,514.408858,650.966383,9933.622788,0.72,0.72,152.966325,0.777778,0.444444,75,1.0,2041.772,0.211685,113.0,10.0,27.0,8.0
tight_battery,3,no_risk_value,alns_full_no_risk_value,75,24,3,6,108.0,0.22,1.96,9.5,32.0,17919.158120127795,523.441736,680.230254,9957.150145,0.453333,0.453333,215.473414,0.333333,0.333333,75,1.0,2468.0595,0.223555,128.0,18.0,12.0,8.0
tight_battery,3,alns_fixed,alns_fixed,75,24,3,6,108.0,0.22,1.96,9.5,32.0,18600.7031026078,528.985553,768.252232,9938.200723,0.72,0.72,222.278019,0.333333,0.333333,75,1.0,2041.772,0.203704,130.0,7.0,10.0,7.0
tight_battery,4,alns_pinn_full,alns_full,75,24,3,6,108.0,0.22,1.96,9.5,32.0,20864.535047054986,564.005677,772.068137,10485.779159,0.453333,0.453333,166.891585,0.777778,0.388889,75,1.0,2829.0823,0.197665,113.0,18.0,27.0,15.0
tight_battery,4,no_energy_repair,alns_full_no_energy_repair,75,24,3,6,108.0,0.22,1.96,9.5,32.0,20864.535047054986,564.005677,772.068137,10485.779159,0.453333,0.453333,166.891585,0.777778,0.388889,75,1.0,2829.0823,0.316506,122.0,17.0,18.0,14.0
tight_battery,4,no_sync_repair,alns_full_no_sync_repair,75,24,3,6,108.0,0.22,1.96,9.5,32.0,20864.535047054986,564.005677,772.068137,10485.779159,0.453333,0.453333,166.891585,0.777778,0.388889,75,1.0,2829.0823,0.19324,117.0,12.0,23.0,12.0
tight_battery,4,no_uq,alns_full_no_uq,75,24,3,6,108.0,0.22,1.96,9.5,32.0,18746.420056494975,539.449904,672.119031,10460.990186,0.733333,0.733333,146.6571,0.777778,0.277778,75,1.0,2348.7812,0.171448,108.0,19.0,32.0,15.0
tight_battery,4,no_risk_value,alns_full_no_risk_value,75,24,3,6,108.0,0.22,1.96,9.5,32.0,16132.038742054987,500.661946,618.271461,10485.779159,0.453333,0.453333,230.488089,0.222222,0.222222,75,1.0,2829.0823,0.17106,128.0,22.0,12.0,11.0
tight_battery,4,alns_fixed,alns_fixed,75,24,3,6,108.0,0.22,1.96,9.5,32.0,15949.911801494987,496.426964,618.271461,10460.990186,0.733333,0.733333,227.674809,0.222222,0.222222,75,1.0,2348.7812,0.164088,128.0,21.0,12.0,11.0
tight_battery,5,alns_pinn_full,alns_full,75,24,3,6,108.0,0.22,1.96,9.5,32.0,17624.200440946082,530.912506,631.443473,10259.117509,0.493333,0.493333,144.650946,0.833333,0.333333,75,1.0,2896.9756,0.232237,111.0,19.0,29.0,12.0
